PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
Epoch: 031/050 | Batch 0175/0190 | Cost: 3.7644
CS/MAE/RMSE: | Current Valid: 0.30/10.66/13.08 Ep. 30 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 370.89 min
Epoch: 032/050 | Batch 0000/0190 | Cost: 4.1251
Epoch: 032/050 | Batch 0025/0190 | Cost: 4.1056
Epoch: 032/050 | Batch 0050/0190 | Cost: 3.6079
Epoch: 032/050 | Batch 0075/0190 | Cost: 4.1398
Epoch: 032/050 | Batch 0100/0190 | Cost: 5.0641
Epoch: 032/050 | Batch 0125/0190 | Cost: 4.5327
Epoch: 032/050 | Batch 0150/0190 | Cost: 3.9063
Epoch: 032/050 | Batch 0175/0190 | Cost: 3.8518
CS/MAE/RMSE: | Current Valid: 0.26/11.42/13.73 Ep. 31 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 382.42 min
Epoch: 033/050 | Batch 0000/0190 | Cost: 3.8658
Epoch: 033/050 | Batch 0025/0190 | Cost: 3.9521
Epoch: 033/050 | Batch 0050/0190 | Cost: 2.9921
Epoch: 033/050 | Batch 0075/0190 | Cost: 3.8210
Epoch: 033/050 | Batch 0100/0190 | Cost: 4.5312
Epoch: 033/050 | Batch 0125/0190 | Cost: 4.6471
Epoch: 033/050 | Batch 0150/0190 | Cost: 4.1413
Epoch: 033/050 | Batch 0175/0190 | Cost: 4.5174
CS/MAE/RMSE: | Current Valid: 0.30/10.02/12.30 Ep. 32 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 393.93 min
Epoch: 034/050 | Batch 0000/0190 | Cost: 3.7871
Epoch: 034/050 | Batch 0025/0190 | Cost: 4.5780
Epoch: 034/050 | Batch 0050/0190 | Cost: 3.5785
Epoch: 034/050 | Batch 0075/0190 | Cost: 3.6442
Epoch: 034/050 | Batch 0100/0190 | Cost: 4.7639
Epoch: 034/050 | Batch 0125/0190 | Cost: 4.6905
Epoch: 034/050 | Batch 0150/0190 | Cost: 3.8063
Epoch: 034/050 | Batch 0175/0190 | Cost: 3.8199
CS/MAE/RMSE: | Current Valid: 0.28/11.02/13.42 Ep. 33 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 405.72 min
Epoch: 035/050 | Batch 0000/0190 | Cost: 3.5439
Epoch: 035/050 | Batch 0025/0190 | Cost: 3.8438
Epoch: 035/050 | Batch 0050/0190 | Cost: 3.5972
Epoch: 035/050 | Batch 0075/0190 | Cost: 3.2911
Epoch: 035/050 | Batch 0100/0190 | Cost: 5.3083
Epoch: 035/050 | Batch 0125/0190 | Cost: 4.5310
Epoch: 035/050 | Batch 0150/0190 | Cost: 3.9536
Epoch: 035/050 | Batch 0175/0190 | Cost: 3.6510
CS/MAE/RMSE: | Current Valid: 0.25/12.20/14.80 Ep. 34 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 417.44 min
Epoch: 036/050 | Batch 0000/0190 | Cost: 4.0511
Epoch: 036/050 | Batch 0025/0190 | Cost: 3.8216
Epoch: 036/050 | Batch 0050/0190 | Cost: 3.0790
Epoch: 036/050 | Batch 0075/0190 | Cost: 3.7271
Epoch: 036/050 | Batch 0100/0190 | Cost: 4.6942
Epoch: 036/050 | Batch 0125/0190 | Cost: 3.9834
Epoch: 036/050 | Batch 0150/0190 | Cost: 3.6731
Epoch: 036/050 | Batch 0175/0190 | Cost: 3.7001
CS/MAE/RMSE: | Current Valid: 0.37/8.22/10.21 Ep. 35 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 429.08 min
Epoch: 037/050 | Batch 0000/0190 | Cost: 3.3172
Epoch: 037/050 | Batch 0025/0190 | Cost: 3.7136
Epoch: 037/050 | Batch 0050/0190 | Cost: 3.3127
Epoch: 037/050 | Batch 0075/0190 | Cost: 3.9873
Epoch: 037/050 | Batch 0100/0190 | Cost: 4.3979
Epoch: 037/050 | Batch 0125/0190 | Cost: 4.6282
Epoch: 037/050 | Batch 0150/0190 | Cost: 4.0341
Epoch: 037/050 | Batch 0175/0190 | Cost: 3.4902
CS/MAE/RMSE: | Current Valid: 0.35/8.83/11.07 Ep. 36 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 440.70 min
Epoch: 038/050 | Batch 0000/0190 | Cost: 3.6344
Epoch: 038/050 | Batch 0025/0190 | Cost: 3.8936
Epoch: 038/050 | Batch 0050/0190 | Cost: 3.3866
Epoch: 038/050 | Batch 0075/0190 | Cost: 3.6495
Epoch: 038/050 | Batch 0100/0190 | Cost: 4.6496
Epoch: 038/050 | Batch 0125/0190 | Cost: 3.9350
Epoch: 038/050 | Batch 0150/0190 | Cost: 3.8064
Epoch: 038/050 | Batch 0175/0190 | Cost: 3.8101
CS/MAE/RMSE: | Current Valid: 0.38/8.94/11.35 Ep. 37 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 452.24 min
Epoch: 039/050 | Batch 0000/0190 | Cost: 3.1158
Epoch: 039/050 | Batch 0025/0190 | Cost: 3.7473
Epoch: 039/050 | Batch 0050/0190 | Cost: 3.0278
Epoch: 039/050 | Batch 0075/0190 | Cost: 3.4719
Epoch: 039/050 | Batch 0100/0190 | Cost: 4.7153
Epoch: 039/050 | Batch 0125/0190 | Cost: 4.6845
Epoch: 039/050 | Batch 0150/0190 | Cost: 3.8293
Epoch: 039/050 | Batch 0175/0190 | Cost: 3.8566
